model,lead_days,n,bias,mae,rmse,debiased_rmse,p95_abs,large_error_pct
cma_grapes_global,1,1662,-1.8477069126888623,2.1633106030217943,2.6310577392833414,1.8730840857378932,5.1,25.992779783393498
cma_grapes_global,2,1646,-1.763244228432564,2.2175037127041985,2.7297320113936037,2.083844198812911,5.300000000000001,26.4277035236938
cma_grapes_global,3,1632,-1.7718613834422658,2.296466503267974,2.8443811081294483,2.2250867682294477,5.5,29.166666666666668
cma_grapes_global,4,1616,-1.6668660616061606,2.386860561056106,2.9602376151541985,2.4463369086941777,5.525000000000002,31.86881188118812
cma_grapes_global,5,1590,-1.645422781271838,2.6160866526904267,3.2957081738861276,2.855569336978439,6.406111111111111,35.283018867924525
ecmwf_ifs025,1,1662,-0.49909078753844105,1.2666934082096537,1.627066016472826,1.548629138223548,3.2555555555555564,7.2202166064981945
ecmwf_ifs025,2,1646,-0.5035236938031593,1.3838261104360743,1.7826988222439584,1.7101108094532407,3.600000000000001,9.477521263669502
ecmwf_ifs025,3,1632,-0.5276211873638346,1.4999523420479304,1.923988945770507,1.8502295387577956,3.8049999999999997,12.132352941176471
ecmwf_ifs025,4,1616,-0.5160616061606161,1.6701457645764577,2.184501362924835,2.1226696924550903,4.399999999999999,16.646039603960396
ecmwf_ifs025,5,1590,-0.5181271837875613,1.8491544374563242,2.4022485067192334,2.345707166177218,4.800000000000002,19.937106918238996
gem_global,1,1662,-1.1552279716539646,1.6492779783393503,2.07547163079429,1.724247900894815,4.0,15.643802647412755
gem_global,2,1646,-1.2571081409477523,1.7956122586742271,2.273914738474836,1.8948264722174346,4.5,20.413122721749698
gem_global,3,1632,-1.2606481481481482,1.9239787581699346,2.445073788810504,2.0950303289687233,4.799999999999999,23.100490196078432
gem_global,4,1616,-1.2278190319031905,2.1191006600660067,2.696451596101998,2.400689824824799,5.461111111111111,25.371287128712872
gem_global,5,1590,-1.2117749825296997,2.2307407407407407,2.8856715810430087,2.618912343961593,5.7283333333333335,28.61635220125786
gfs_seamless,1,1662,-0.2910883807995723,1.2465235994116863,1.6589153664769538,1.633177194212817,3.3988888888888833,7.400722021660649
gfs_seamless,2,1646,-0.028189550425273487,1.39967598217902,1.8664731058073163,1.8662602187125004,3.7583333333333346,10.267314702308628
gfs_seamless,3,1632,-0.012731481481481644,1.5293436819172113,2.050302051302068,2.050262522447493,4.199999999999999,13.112745098039216
gfs_seamless,4,1616,0.07688393839383928,1.7675467546754677,2.3067521779682045,2.305470552962694,4.7,17.2029702970297
gfs_seamless,5,1590,0.030363382250174608,1.939643605870021,2.6046548636268105,2.6044778792750627,5.330555555555555,21.572327044025158
icon_seamless,1,1662,-0.6264072736996926,1.1663056558363418,1.523213629992367,1.3884501035509496,3.166666666666668,6.016847172081829
icon_seamless,2,1646,-0.7419198055893076,1.3562440934251383,1.7761788661689044,1.6138049345256626,3.5,9.173754556500608
icon_seamless,3,1632,-0.6980868736383442,1.522528594771242,1.9832942187180613,1.856375682574604,3.951111111111093,12.622549019607842
icon_seamless,4,1616,-0.7679180418041806,1.7051567656765676,2.2136953086845463,2.076234283688525,4.325,15.965346534653465
icon_seamless,5,1590,-0.8507686932215235,1.9885464709993015,2.6091130377984064,2.4665083568972093,5.200000000000001,23.0188679245283
jma_seamless,1,1662,-1.5243615456611848,1.8821366492846638,2.3496328993964113,1.7880426840641779,4.632777777777779,20.45728038507822
jma_seamless,2,1646,-1.520716889428919,1.985155933576347,2.474840942580555,1.9525004054490342,4.8,22.96476306196841
jma_seamless,3,1632,-1.6236996187363835,2.171738834422658,2.6854564367914486,2.1389894394362834,5.014999999999997,28.002450980392158
jma_seamless,4,1616,-1.5701457645764578,2.2565594059405942,2.8116812461840364,2.332422283405307,5.500000000000001,28.898514851485146
jma_seamless,5,1590,-1.5616491963661776,2.4069461914744936,3.0115739675871525,2.575039718089314,5.899999999999997,32.893081761006286
