model,lead_days,n,bias,mae,rmse,error_sd,p95_abs,large_error_pct,debiased_rmse,n_debiased
cma_grapes_global,1,1196,-1.866425120772947,2.190393905611297,2.6603544610090015,1.8957697979338595,5.199999999999996,26.755852842809364,1.763307942238365,1196
cma_grapes_global,2,1029,-1.7662887377173093,2.2282906813519063,2.7455042114055352,2.101908054568164,5.3000000000000025,27.2108843537415,1.9259964494645043,1029
cma_grapes_global,3,1014,-1.7491562568485648,2.265329826868289,2.82108722459791,2.2133652021112686,5.371111111111107,27.613412228796847,2.038352144634151,1014
ecmwf_ifs025,1,1196,-0.44025455221107407,1.2316146413972504,1.5745481139293822,1.5117465701419672,3.1833333333333336,6.354515050167224,1.366948119930402,1196
ecmwf_ifs025,2,1029,-0.49233344131303325,1.4297052154195014,1.8268827958736233,1.7592920543286419,3.6199999999999988,10.689990281827017,1.609559397025654,1029
ecmwf_ifs025,3,1014,-0.47588209511286444,1.493348674117905,1.8848881520536076,1.8238255336799774,3.6666666666666665,11.637080867850099,1.7170058188806323,1014
gem_global,1,1196,-1.1529635823114086,1.589083983649201,2.0103247013473804,1.6468395133439926,3.902777777777778,13.963210702341136,1.4570272703406029,1196
gem_global,2,1029,-1.224597775618184,1.8121369182593672,2.2874772217918236,1.9320746176500108,4.5,21.477162293488824,1.7447092943778777,1029
gem_global,3,1014,-1.1920556651325882,1.8925378040762657,2.412594413717106,2.0975259465199203,4.642222222222213,22.189349112426036,1.941546974080112,1014
gfs_seamless,1,1196,-0.1922612411742848,1.2186454849498327,1.643403075764765,1.6321180363488461,3.3777777777777773,7.6923076923076925,1.519991252093047,1196
gfs_seamless,2,1029,-0.04170176006910711,1.4678112514847208,1.9246244553919274,1.9241726163470396,3.79111111111111,10.981535471331389,1.7862304411970824,1029
gfs_seamless,3,1014,0.13230330922638597,1.5384615384615385,2.054563970012648,2.05029971985607,4.363888888888884,13.510848126232741,1.9447043251187193,1014
icon_seamless,1,1196,-0.5021274619100707,1.09714790040877,1.4368203085977649,1.3462245768053436,3.0,5.1003344481605355,1.2112510514366226,1196
icon_seamless,2,1029,-0.6854335384947632,1.4007990497786418,1.842623762649834,1.7103927019805656,3.773333333333334,10.00971817298348,1.5420812890060982,1029
icon_seamless,3,1014,-0.6424501424501425,1.5175323252246329,1.9956042349856529,1.8893634052660344,3.903888888888887,13.017751479289942,1.7639125980357717,1014
jma_seamless,1,1196,-1.3962746191007063,1.8032794500185807,2.274394324775817,1.795351423155818,4.513888888888889,18.729096989966553,1.614942766530718,1196
jma_seamless,2,1029,-1.4762984558902927,1.9474354821293596,2.439828617019663,1.9425000771078538,4.762222222222221,23.03206997084548,1.8295242619790357,1029
jma_seamless,3,1014,-1.5254876177953105,2.1091168091168093,2.638785319258973,2.153154775925286,5.0,26.035502958579883,1.9694592429551436,1014
meteofrance_seamless,1,1196,-0.24711073950204407,1.4245354886659236,1.8307300808496323,1.8139759952519916,3.6999999999999993,9.364548494983277,1.4231052324564222,1196
meteofrance_seamless,2,1029,-0.9072994277075911,1.7759961127308066,2.2605835607757068,2.070518240376271,4.586666666666663,17.49271137026239,1.8023479785319902,1029
meteofrance_seamless,3,1014,-0.9181897874205568,1.8806486960333115,2.4195500342677216,2.238559778652678,4.7,20.611439842209073,1.9626811968268292,1014
ukmo_seamless,1,1196,-0.07604050538833163,1.1520717205499815,1.5122977790247276,1.5103848562480393,3.1,5.852842809364549,1.3793694603496116,1136
ukmo_seamless,2,1029,-0.5196415073966095,1.4826692581794623,1.921531183969414,1.8499337271257794,3.8777777777777716,11.370262390670554,1.6536977201778762,969
ukmo_seamless,3,1014,-0.5632588209511288,1.5812952005259697,2.0879726997464325,2.010564471860365,4.3999999999999995,14.003944773175542,1.9013540058714924,954
